fecha_inicio,mes_num,mes_nombre,propiedad,noches,ingreso_bruto,ingreso_neto,tarifa_servicio,tarifa_limpeza,ocupacion_pct
2026-01-25,1,January,Casa 5min CAS,5.0,5310.0,4355.26,954.74,850.0,16.7
2026-01-24,1,January,Casa del Parque,1.0,1739.4,1426.73,312.67,750.0,3.3
2026-01-24,1,January,Casa Zoe,1.0,1673.2,1372.35,300.85,750.0,3.3
2026-01-23,1,January,Casa de las Flores,2.0,2810.0,2304.78,505.22,750.0,6.7
2026-01-23,1,January,Casa del Parque,1.0,1750.0,1435.35,314.65,750.0,3.3
2026-01-23,1,January,Emily House,7.0,6715.2,5507.8,1207.4,850.0,23.3
2026-01-23,1,January,Casa 2 rec,1.0,1562.9,1281.89,281.01,650.0,3.3
2026-01-22,1,January,Casa de las Flores,1.0,1576.4,1292.97,283.43,750.0,3.3
2026-01-21,1,January,Casa 3min USA,6.0,9350.0,7668.87,1681.13,900.0,20.0
2026-01-21,1,January,Casa de Ineva,8.0,8763.5,7187.83,1575.67,850.0,26.7
2026-01-21,1,January,Casa 5min USA,5.0,5302.88,4349.42,953.46,850.0,16.7
2026-01-21,1,January,Casa Alegre,8.0,8459.5,6938.48,1521.02,850.0,26.7
2026-01-21,1,January,Casa Super Comoda,6.0,7078.35,5805.67,1272.68,850.0,20.0
2026-01-21,1,January,Casa de Rigo,5.0,5650.0,4634.13,1015.87,850.0,16.7
2026-01-19,1,January,Casa de las Flores,3.0,3235.6,2653.83,581.77,850.0,10.0
2026-01-19,1,January,Emily House,3.0,3076.15,2523.06,553.09,850.0,10.0
2026-01-19,1,January,Casa del Parque,4.0,4750.0,3895.95,854.05,850.0,13.3
2026-01-19,1,January,Casa 2 rec,4.0,4450.0,3649.89,800.11,850.0,13.3
2026-01-17,1,January,Casa 3min USA,1.0,2200.0,1804.35,395.65,750.0,3.3
2026-01-17,1,January,Casa Alegre,2.0,2650.0,2173.52,476.48,650.0,6.7
2026-01-17,1,January,Casa del Parque,1.0,1780.0,1459.89,320.11,750.0,3.3
2026-01-17,1,January,Casa Super Comoda,2.0,3050.0,2501.61,548.39,850.0,6.7
2026-01-17,1,January,Casa de las Flores,2.0,2750.0,2255.56,494.44,750.0,6.7
2026-01-16,1,January,Casa 3min USA,1.0,2200.0,1804.34,395.66,750.0,3.3
2026-01-16,1,January,Casa de las Flores,1.0,1750.0,1435.32,314.68,750.0,3.3
2026-01-16,1,January,Casa de Rigo,2.0,2459.34,2017.08,442.26,650.0,6.7
2026-01-16,1,January,Casa Super Comoda,1.0,1950.0,1599.33,350.67,850.0,3.3
2026-01-16,1,January,Casa 2 rec,3.0,3560.0,2919.91,640.09,850.0,10.0
2026-01-16,1,January,Casa 5min USA,2.0,2517.6,2064.93,452.67,750.0,6.7
